θ_0,θ_1,Population,Price
-3.90,1.19,22.203,22.853927519070513
-3.90,1.19,22.42158762886598,23.11470991451126
-3.90,1.19,22.640175257731958,23.375492309952
-3.90,1.19,22.858762886597937,23.636274705392744
-3.90,1.19,23.077350515463916,23.897057100833486
-3.90,1.19,23.295938144329895,24.157839496274228
-3.90,1.19,23.514525773195874,24.41862189171497
-3.90,1.19,23.733113402061853,24.679404287155716
-3.90,1.19,23.951701030927833,24.940186682596458
-3.90,1.19,24.170288659793812,25.2009690780372
-3.90,1.19,24.38887628865979,25.461751473477943
-3.90,1.19,24.60746391752577,25.722533868918685
-3.90,1.19,24.82605154639175,25.983316264359427
-3.90,1.19,25.04463917525773,26.244098659800173
-3.90,1.19,25.263226804123708,26.504881055240915
-3.90,1.19,25.481814432989687,26.765663450681657
-3.90,1.19,25.700402061855666,27.0264458461224
-3.90,1.19,25.918989690721645,27.28722824156314
-3.90,1.19,26.137577319587624,27.548010637003884
-3.90,1.19,26.356164948453603,27.808793032444626
-3.90,1.19,26.574752577319583,28.069575427885372
-3.90,1.19,26.79334020618556,28.330357823326114
-3.90,1.19,27.01192783505154,28.591140218766856
-3.90,1.19,27.23051546391752,28.8519226142076
-3.90,1.19,27.4491030927835,29.11270500964834
-3.90,1.19,27.66769072164948,29.373487405089083
-3.90,1.19,27.886278350515457,29.63426980052983
-3.90,1.19,28.104865979381437,29.89505219597057
-3.90,1.19,28.323453608247416,30.155834591411313
-3.90,1.19,28.542041237113395,30.416616986852056
-3.90,1.19,28.760628865979374,30.677399382292798
-3.90,1.19,28.979216494845353,30.93818177773354
-3.90,1.19,29.197804123711332,31.198964173174286
-3.90,1.19,29.41639175257731,31.459746568615028
-3.90,1.19,29.63497938144329,31.72052896405577
-3.90,1.19,29.85356701030927,31.981311359496512
-3.90,1.19,30.07215463917525,32.24209375493726
-3.90,1.19,30.290742268041228,32.502876150378
-3.90,1.19,30.509329896907207,32.76365854581874
-3.90,1.19,30.727917525773186,33.024440941259485
-3.90,1.19,30.946505154639166,33.28522333670023
-3.90,1.19,31.165092783505145,33.54600573214097
-3.90,1.19,31.383680412371124,33.80678812758171
-3.90,1.19,31.602268041237103,34.067570523022454
-3.90,1.19,31.820855670103082,34.328352918463196
-3.90,1.19,32.03944329896906,34.589135313903945
-3.90,1.19,32.258030927835044,34.849917709344695
-3.90,1.19,32.47661855670103,35.11070010478544
-3.90,1.19,32.69520618556701,35.371482500226186
-3.90,1.19,32.91379381443299,35.632264895666935
-3.90,1.19,33.132381443298975,35.89304729110768
-3.90,1.19,33.35096907216496,36.15382968654843
-3.90,1.19,33.56955670103094,36.414612081989176
-3.90,1.19,33.78814432989692,36.67539447742992
-3.90,1.19,34.006731958762906,36.93617687287067
-3.90,1.19,34.22531958762889,37.19695926831142
-3.90,1.19,34.44390721649487,37.45774166375216
-3.90,1.19,34.662494845360854,37.71852405919291
-3.90,1.19,34.88108247422684,37.97930645463366
-3.90,1.19,35.09967010309282,38.2400888500744
-3.90,1.19,35.3182577319588,38.50087124551515
-3.90,1.19,35.536845360824785,38.7616536409559
-3.90,1.19,35.75543298969077,39.02243603639664
-3.90,1.19,35.97402061855675,39.28321843183739
-3.90,1.19,36.19260824742273,39.54400082727814
-3.90,1.19,36.411195876288716,39.80478322271888
-3.90,1.19,36.6297835051547,40.06556561815963
-3.90,1.19,36.84837113402068,40.32634801360038
-3.90,1.19,37.066958762886664,40.58713040904113
-3.90,1.19,37.285546391752646,40.84791280448187
-3.90,1.19,37.50413402061863,41.10869519992262
-3.90,1.19,37.72272164948461,41.36947759536337
-3.90,1.19,37.941309278350595,41.63025999080411
-3.90,1.19,38.15989690721658,41.89104238624486
-3.90,1.19,38.37848453608256,42.15182478168561
-3.90,1.19,38.59707216494854,42.412607177126354
-3.90,1.19,38.815659793814525,42.6733895725671
-3.90,1.19,39.03424742268051,42.93417196800785
-3.90,1.19,39.25283505154649,43.194954363448595
-3.90,1.19,39.47142268041247,43.455736758889344
-3.90,1.19,39.690010309278456,43.71651915433009
-3.90,1.19,39.90859793814444,43.977301549770836
-3.90,1.19,40.12718556701042,44.238083945211585
-3.90,1.19,40.345773195876404,44.498866340652334
-3.90,1.19,40.56436082474239,44.75964873609308
-3.90,1.19,40.78294845360837,45.020431131533826
-3.90,1.19,41.00153608247435,45.281213526974575
-3.90,1.19,41.220123711340335,45.54199592241532
-3.90,1.19,41.43871134020632,45.80277831785607
-3.90,1.19,41.6572989690723,46.063560713296816
-3.90,1.19,41.87588659793828,46.32434310873756
-3.90,1.19,42.094474226804266,46.58512550417831
-3.90,1.19,42.31306185567025,46.84590789961906
-3.90,1.19,42.53164948453623,47.1066902950598
-3.90,1.19,42.750237113402214,47.36747269050055
-3.90,1.19,42.9688247422682,47.6282550859413
-3.90,1.19,43.18741237113418,47.88903748138204
-3.90,1.19,43.40600000000016,48.14981987682279
-3.90,1.19,43.624587628866145,48.41060227226354
-3.90,1.19,43.84317525773213,48.67138466770429
-3.90,1.19,44.06176288659811,48.93216706314503
-3.90,1.19,44.28035051546409,49.19294945858578
-3.90,1.19,44.498938144330076,49.45373185402653
-3.90,1.19,44.71752577319606,49.71451424946727
-3.90,1.19,44.93611340206204,49.97529664490802
-3.90,1.19,45.154701030928024,50.23607904034877
-3.90,1.19,45.37328865979401,50.49686143578951
-3.90,1.19,45.59187628865999,50.75764383123026
-3.90,1.19,45.81046391752597,51.01842622667101
-3.90,1.19,46.029051546391955,51.27920862211175
-3.90,1.19,46.24763917525794,51.5399910175525
-3.90,1.19,46.46622680412392,51.80077341299325
-3.90,1.19,46.6848144329899,52.061555808433994
-3.90,1.19,46.903402061855886,52.32233820387474
-3.90,1.19,47.12198969072187,52.58312059931549
-3.90,1.19,47.34057731958785,52.843902994756235
-3.90,1.19,47.559164948453834,53.104685390196984
-3.90,1.19,47.777752577319816,53.36546778563773
-3.90,1.19,47.9963402061858,53.626250181078476
-3.90,1.19,48.21492783505178,53.887032576519225
-3.90,1.19,48.433515463917765,54.147814971959974
-3.90,1.19,48.65210309278375,54.408597367400716
-3.90,1.19,48.87069072164973,54.669379762841466
-3.90,1.19,49.08927835051571,54.930162158282215
-3.90,1.19,49.307865979381695,55.19094455372296
-3.90,1.19,49.52645360824768,55.45172694916371
-3.90,1.19,49.74504123711366,55.712509344604456
-3.90,1.19,49.96362886597964,55.9732917400452
-3.90,1.19,50.182216494845626,56.23407413548595
-3.90,1.19,50.40080412371161,56.4948565309267
-3.90,1.19,50.61939175257759,56.75563892636744
-3.90,1.19,50.837979381443574,57.01642132180819
-3.90,1.19,51.05656701030956,57.27720371724894
-3.90,1.19,51.27515463917554,57.53798611268969
-3.90,1.19,51.49374226804152,57.79876850813043
-3.90,1.19,51.712329896907505,58.05955090357118
-3.90,1.19,51.93091752577349,58.32033329901193
-3.90,1.19,52.14950515463947,58.58111569445267
-3.90,1.19,52.36809278350545,58.84189808989342
-3.90,1.19,52.586680412371436,59.10268048533417
-3.90,1.19,52.80526804123742,59.36346288077491
-3.90,1.19,53.0238556701034,59.62424527621566
-3.90,1.19,53.242443298969384,59.88502767165641
-3.90,1.19,53.46103092783537,60.14581006709715
-3.90,1.19,53.67961855670135,60.4065924625379
-3.90,1.19,53.89820618556733,60.66737485797865
-3.90,1.19,54.116793814433315,60.92815725341939
-3.90,1.19,54.3353814432993,61.18893964886014
-3.90,1.19,54.55396907216528,61.44972204430089
-3.90,1.19,54.77255670103126,61.710504439741634
-3.90,1.19,54.991144329897246,61.97128683518238
-3.90,1.19,55.20973195876323,62.23206923062313
-3.90,1.19,55.42831958762921,62.492851626063874
-3.90,1.19,55.646907216495194,62.753634021504624
-3.90,1.19,55.86549484536118,63.01441641694537
-3.90,1.19,56.08408247422716,63.275198812386115
-3.90,1.19,56.30267010309314,63.535981207826865
-3.90,1.19,56.521257731959125,63.796763603267614
-3.90,1.19,56.73984536082511,64.05754599870836
-3.90,1.19,56.95843298969109,64.3183283941491
-3.90,1.19,57.17702061855707,64.57911078958985
-3.90,1.19,57.395608247423056,64.8398931850306
-3.90,1.19,57.61419587628904,65.10067558047135
-3.90,1.19,57.83278350515502,65.36145797591209
-3.90,1.19,58.051371134021004,65.62224037135285
-3.90,1.19,58.269958762886986,65.88302276679359
-3.90,1.19,58.48854639175297,66.14380516223433
-3.90,1.19,58.70713402061895,66.40458755767509
-3.90,1.19,58.925721649484935,66.66536995311583
-3.90,1.19,59.14430927835092,66.92615234855657
-3.90,1.19,59.3628969072169,67.18693474399733
-3.90,1.19,59.58148453608288,67.44771713943807
-3.90,1.19,59.800072164948865,67.70849953487881
-3.90,1.19,60.01865979381485,67.96928193031957
-3.90,1.19,60.23724742268083,68.23006432576031
-3.90,1.19,60.45583505154681,68.49084672120105
-3.90,1.19,60.674422680412796,68.75162911664181
-3.90,1.19,60.89301030927878,69.01241151208255
-3.90,1.19,61.11159793814476,69.27319390752331
-3.90,1.19,61.330185567010744,69.53397630296405
-3.90,1.19,61.54877319587673,69.79475869840479
-3.90,1.19,61.76736082474271,70.05554109384555
-3.90,1.19,61.98594845360869,70.31632348928629
-3.90,1.19,62.204536082474675,70.57710588472703
-3.90,1.19,62.42312371134066,70.83788828016779
-3.90,1.19,62.64171134020664,71.09867067560853
-3.90,1.19,62.86029896907262,71.35945307104927
-3.90,1.19,63.078886597938606,71.62023546649003
-3.90,1.19,63.29747422680459,71.88101786193077
-3.90,1.19,63.51606185567057,72.14180025737151
-3.90,1.19,63.734649484536554,72.40258265281227
-3.90,1.19,63.95323711340254,72.663365048253
-3.90,1.19,64.17182474226851,72.92414744369374
-3.90,1.19,64.39041237113449,73.18492983913448
-3.90,1.19,64.60900000000046,73.44571223457523
-3.90,1.19,64.82758762886644,73.70649463001595
-3.90,1.19,65.04617525773241,73.9672770254567
-3.90,1.19,65.26476288659839,74.22805942089744
-3.90,1.19,65.48335051546437,74.48884181633818
-3.90,1.19,65.70193814433034,74.74962421177891
-3.90,1.19,65.92052577319632,75.01040660721965
-3.90,1.19,66.13911340206229,75.27118900266039
-3.90,1.19,66.35770103092827,75.53197139810112
-3.90,1.19,66.57628865979424,75.79275379354186
-3.90,1.19,66.79487628866022,76.0535361889826
-3.90,1.19,67.0134639175262,76.31431858442335
-3.90,1.19,67.23205154639217,76.57510097986408
-3.90,1.19,67.45063917525815,76.83588337530482
-3.90,1.19,67.66922680412412,77.09666577074556
-3.90,1.19,67.8878144329901,77.3574481661863
-3.90,1.19,68.10640206185607,77.61823056162703
-3.90,1.19,68.32498969072205,77.87901295706777
-3.90,1.19,68.54357731958802,78.13979535250851
-3.90,1.19,68.762164948454,78.40057774794926
-3.90,1.19,68.98075257731998,78.66136014338998
-3.90,1.19,69.19934020618595,78.92214253883073
-3.90,1.19,69.41792783505193,79.18292493427147
-3.90,1.19,69.6365154639179,79.44370732971221
-3.90,1.19,69.85510309278388,79.70448972515294
-3.90,1.19,70.07369072164985,79.96527212059368
-3.90,1.19,70.29227835051583,80.22605451603442
-3.90,1.19,70.5108659793818,80.48683691147517
-3.90,1.19,70.72945360824778,80.7476193069159
-3.90,1.19,70.94804123711376,81.00840170235664
-3.90,1.19,71.16662886597973,81.26918409779738
-3.90,1.19,71.38521649484571,81.52996649323812
